Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Walk the Line,3035.0,2005,Love is a burning thing.,"Drama, Music, Romance",James Mangold,/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,"""Love is a burning thing.""","prison, adultery, concert, music record, country music, guitar, germany, loss of loved one, marriage, single, accident, 1960s, biographical"
Million Dollar Baby,10115.0,2004,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Drama,Clint Eastwood,/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,"""Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.""","dying and death, transporter, strong woman, stroke of fate, advancement, fight, suicide attempt, boxer, training, tragedy, female protagonist, brutality, boxing trainer, unlikely friendship, female boxing, knockout, euthanasia, determination"
Billy Elliot,4003.0,2000,Inside every one of us is a special talent waiting to come out. The trick is finding it.,"Drama, Comedy, Music",Stephen Daldry,/nOr5diUZxphmAD3li9aiILyI28F.jpg,"""Inside every one of us is a special talent waiting to come out. The trick is finding it.""","dancing, friendship, dream, dancing class, northern england, workers' quarter, strike, small person, homophobia, hope, mentor, sadness, socialism, youngster, letter, ballet dancer, street riots, coming of age, ballet, young boy, cross dressing, crying, single father, audition, dance class, retrospective, lgbt, revolt, ballet school, emotional vulnerability, helping children, smart kid, street kid, dance teacher, 1980s, miners strike, father son relationship, 80s throwback, ballet dancing, gay theme, late 20th century, teen playing kid, ya, generational divide"
American History X,12256.0,1998,Some legacies must end.,Drama,Tony Kaye,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,"""Some legacies must end.""","prison, neo-nazism, rape, skinhead, sibling relationship, swastika, brother, fascism, jail, school, los angeles, california, family, xenophobia, interracial friendship, nazism"
War of the Worlds,8930.0,2005,They're already here.,"Adventure, Thriller, Science Fiction",Steven Spielberg,/6Biy7R9LfumYshur3YKhpj56MpB.jpg,"""They're already here.""","daughter, new jersey, post-traumatic stress disorder (ptsd), airplane, based on novel or book, underground, dystopia, alien, remake, survival, disaster, apocalypse, creature, alien invasion, human subjugation"
Mars Attacks!,5735.0,1996,Nice planet. We'll take it!,"Comedy, Fantasy, Science Fiction",Tim Burton,/vUbGCNSEilGvxRQZi2kfTPRP0pS.jpg,"""Nice planet. We'll take it!""","usa president, the white house, planet mars, saving the world, cataclysm, total destruction, laser gun, ambassador, congress, flying saucer, dark comedy, parody, based on comic, alien, creature, alien invasion, horror comedy, outer space, absurd"
Before Sunrise,4536.0,1995,Can the greatest romance of your life last only one night?,"Drama, Romance",Richard Linklater,/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,"""Can the greatest romance of your life last only one night?""","sunrise, talking, soulmates, walking, austria, vienna, austria, romantic"
Memento,15812.0,2000,Some memories are best forgotten.,"Mystery, Thriller",Christopher Nolan,/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,"""Some memories are best forgotten.""","drug dealer, amnesia, insulin, tattoo, waitress, insurance salesman, motel, manipulation, flashback, confusion, revenge, murder, memory loss, psychological thriller, whodunit, los angeles, california, polaroid, based on short story, nonlinear timeline, individuality, phone call, neo-noir, reverse chronology"
Blade Runner,14639.0,1982,Man has made his match... now it's his problem.,"Science Fiction, Drama, Thriller",Ridley Scott,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"""Man has made his match... now it's his problem.""","android, flying car, bounty hunter, artificial intelligence (a.i.), genetics, based on novel or book, dystopia, futuristic, fugitive, cyberpunk, los angeles, california, electronic music score, alcoholic, tech noir, neo-noir, philosophical, blade runner, 2010s"
Hero,2416.0,2002,One man's strength will unite an empire.,"Drama, Adventure, Action, History",Zhang Yimou,/vxgZto2Cz7ILHAlmRXt50I2brB2.jpg,"""One man's strength will unite an empire.""",hero
